UZUM1001	г. Ташкент, Алмазарский район, массив Беруний, Б-1, дом 1Б	Korzinka Гунча
UZUM1002	г. Ташкент, Сергелийский район, массив Сергели-7, д. 2	Пункт выдачи Uzum Market
UZUM1003	г. Ташкент, Мирзо-Улугбекский район, массив Буюк Ипак Йули, д. 31	Пункт выдачи Uzum Market
UZUM1004	г. Ташкент, Мирабадский район, ул. Туркистан, 12А	Бц Platform
UZUM1005	г. Ташкент, Мирабадский район, улица Мирабад, д. 27/11	Пункт выдачи Uzum Market
UZUM1006	г. Ташкент, Мирабадский район, улица Абу Сулеймана Банокати, д. 175 А	Пункт выдачи Uzum Market
UZUM1007	г. Ташкент, Чиланзарский район, 1-квартал, д. 14	Пункт выдачи Uzum Market
UZUM1008	г. Ташкент, Сергелийский район, Куйлюк 5-массив	Пункт выдачи Uzum Market
UZUM1009	г. Ташкент, Мирзо Улугбекский район, улица Феруза, д. 27	Пункт выдачи Uzum Market
UZUM1010	г. Ташкент, Шайхантахурский район, массив Ибн Сино 2, д. 9	Пункт выдачи Uzum Market
UZUM1011	г. Ташкент, Учтепинский район, массив Чиланзар, квартал Г9а, д. 3	Пункт выдачи Uzum Market
UZUM1012	г.Ташкент, Яккасарайский район, ул. Кичик Бешагач, 132А	БЦ Uzum Market
UZUM1013	г. Ташкент, Алмазарский р-н, махалля Ислом-ота, массив Каракамыш 1/2, торговый центр	OLMA
UZUM1014	г. Ташкент, Шайхантохурский район, ул.Сеульская 7/2	ТЦ Seoul Mun
UZUM1015	г. Ташкент, Бектимир р-он, Икбол МФЙ, квартал Водник, дом 12а	OLMA
UZUM1016	г. Ташкент, Яккасарайский район, ул. Кичик Бешагач, д. 70	Пункт выдачи Uzum Market
UZUM1017	г. Ташкент, Мирабадский район, ул. Таллимаржон, д. 10	Пункт выдачи Uzum Market
UZUM1018	г. Ташкент, Яккасарайский район, ул. Шота Руставели, 150	ТЦ Vega Centr
UZUM1019	г. Ташкент, Мирабадский район, ул. Кучкуприк, дом 30	ТЦ Alfraganus
UZUM1020	г. Ташкент, Чиланзарский район, проспект Бунёдкор, 7, метро Алмазар	Автовокзал Ташкент
UZUM1021	г. Ташкент, Яшнабадский район, улица Махтумкули, д. 117	Пункт выдачи Uzum Market
UZUM1022	г. Ташкент,, Алмазарский район, махалля Олимпия, массив Олимпийский, д.16	OLMA
UZUM1023	г. Ташкент, Алмазарский район,  ул. Бешёгоч, 28Б	Humo Arena
UZUM1024	г. Ташкент, Юнусабадский район, ул. Янгишахар 6-й проезд, 65Б стр	ТЦ HIGH TOWN MALL
UZUM1025	г. Ташкент, Сергелийский район, ул. Кумарык, 13	Международный аэропорт Ташкента имени Ислама Каримова
UZUM1026	г.Ташкент, Шайхантахурский район, массив Ибн Сина-2	ТЦ Yangi Ibn-Sino
UZUM1027	г. Ташкент, Янгихайот район, ул. Турсунзода, дом – 21	OLMA
UZUM1028	г. Ташкент, Шайхантахурский район, ул. Сакичмон, 1/39	Chorsu Gold Center
UZUM1029	г. Ташкент, Янгихаетский район, махалля Ташаббус, строительный объект №2, д. 13-а	OLMA
UZUM1030	г. Ташкент, Сергелиский район,ул. Мирзы Турсунзаде, 14	ТРЦ Golden Life
UZUM1031	г. Ташкент, Алмазарский район, ул. Нодиры, 4	ТЦ Rivera
UZUM1036	г. Ташкент, Алмазарский район, ул. Беруни, 47, метро Беруни.	Eco Bazar беруни
UZUM1041	г. Ташкент, Юнусабадский район, ул. Богишамол, 260	ТЦ Sampi
UZUM1042	г. Ташкент, Мирабадский район, проспект Амира Темура, 40н	Алайский базар
UZUM1043	г. Ташкент, Учтепинский район, ул. Лутфи, 21А	ТЦ Oazis City Centre
UZUM1047	г. Ташкент, Алмазарский район, обводная ул. Нурафшон, 7	ТЦ Chigatoy
UZUM1048	г. Ташкент, Чиланзарский район, ул. Катартал, 60 А/1	ТЦ Parus
UZUM1049	г. Ташкент, Учтепинский район, ул. Заргарлик, 10А	ТЦ Globus Mall
UZUM1050	г. Ташкент, Учтепинский район, ул. Лутфи, 34	ТЦ «ДЕПО Mall»
UZUM1052	г. Ташкент, Чиланзарский район, ул. Чиланзар, 55	ТЦ Chilonzor
UZUM1129	г. Ташкент, Алмазарский район, ул. Беруни, 47, метро Беруни.	Атлас мебел беруни
UZUM1130	г. Ташкент, Мирзо Улугбекский район, МФЙ Хабиба Абдуллаева, массив Ялангоч	OLMA
UZUM1133	г. Ташкент, Юнусабадский район,  16-й квартал, 19, массив Юнусабад, 	OLMA
UZUM1053	г. Ташкент, Юнусабадский район, 4-й квартал, 61Б	Baraka Market
UZUM1037	г. Ташкент, Мирабадский район, Чинор МФЙ, ул. Мунис, дом 80а	OLMA
UZUM1060	г. Ташкент, Сергелийский район, МСГ «Курувчилар», массив Курувчи, 51-53	Korzinka Курувчи, 51-53
UZUM1071	г. Ташкент, Учтепинский район, махалля Тепакурган, 11-квартал, д. 59-А	OLMA
UZUM1073	г. Ташкент, Чиланзарский р-н, махалли Днер, 8-квартал, ул. Катартал	OLMA
UZUM1075	г. Ташкент, Чиланзарский район, м.19, д. 33/1	OLMA
UZUM1089	г.Ташкент, Мирабадский район, Ул. Хамал д. 29/3	OLMA
UZUM1107	г. Ташкент, Яккасарайский район, ул Кушбеги, д 11	OLMA
UZUM1069	г. Ташкент, Чиланзарский район, Бахористон МСГ, м. Гулистан, д.56а	OLMA
UZUM1074	г. Ташкент, Учтепинский район, махалля Янгиюль, 31-квартал, д. 45-Д	OLMA
UZUM1076	г. Ташкент, Учтепинский район, 30 квартал, дом 25А	OLMA
UZUM1077	Ташкент, Учтепинский р-н, МСГ Бирлик,21-квартал, ул. Фархадская,дом 7	OLMA М-147
UZUM1085	г. Ташкент, Шайхантахурский район, махалля Катта Джарарык, массив Джарарык	OLMA
UZUM1110	г. Ташкент, Мирзо Улугбекский район, массив Хумаюн, 96	OLMA
UZUM1112	г. Ташкент, Чиланзарский район, махалля Шарк, массив Кизил Шарк, д. 32	OLMA
UZUM1120	г. Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Богимайдан,	OLMA
UZUM1122	г. Ташкент, Мирзо-Улугбекский район, махалля Хамида Олимжана, ул Аккурган, д.43-А	OLMA
UZUM1039	г. Ташкент, Янгиюльский район, Янгидарханский МФК,улица Навруз	OLMA
UZUM1046	г. Ташкент, Яккасарайский район, Бобур МФЙ, ул. Бобур, д. 73б	OLMA
UZUM1088	г. Ташкент, Чиланзарский район,  7-й квартал, 58, массив Чиланзор, 	OLMA
UZUM1096	г. Ташкент, Чиланзарский район, махалля Лутфий, ул. Богистон, д. 111	OLMA
UZUM1113	г. Ташкент, Алмазарский район, квартал 1/1, 20А, массив Каракамыш, 	OLMA
UZUM1101	г. Ташкент, Юнусабадский район, 7-й квартал, массив Юнусабад,  	OLMA
UZUM1117	г. Ташкент, Янгихаетский район, махалля Янги турмуш, ул. Турсунзода, д. 7	OLMA
UZUM1105	г. Ташкент, Янгихаитский район, массив Спутник 7, дом 5	OLMA
UZUM1092	г. Ташкент, Алмазарский район, махалля Ачаобод, ул. Сагбан берк-30, д. 79	OLMA
UZUM1091	г Ташкент, Янгихаетский район махалля Чоштепа, ул. Чоштепа, д. 74-А	OLMA
UZUM1142	г. Ташкент, Учтепинский район, махалля Богобод, 15-квартал, 25-а	OLMA
UZUM1098	г. Ташкент, Яшнабадский район, махалля Маърифат, ул. Ахсикат, д.176	OLMA
UZUM1038	г. Ташкент, Яшнабадский район, 58А военный городок, дом 70	OLMA
UZUM1121	г. Ташкент, Мирзо-Улугбекский район, 4-й массив Карасу, 2	OLMA
UZUM1145	Ташкентская обл., Кибрайский р-н, махалля Фаровон, ТашГРЕС, д. 338	OLMA
UZUM1059	г. Ташкент, Янгихаётский район, махалля Янги Дархан, ул. Навруз, д. 40	OLMA
UZUM1065	г. Ташкент, Яккасарайский район, махалля Армугон, ул. Кичик Халка Йули	OLMA
UZUM1082	г. Ташкент, Яшнабадский район, махалля Олмос, Ахангаранское шоссе, д. 105	OLMA
UZUM1033	г. Ташкент, Юнусабадский район, махалля Богишамол, 11-квартал, д.61	OLMA
